ID,Name,Category & Subcategory,Description,History,Nearby Recommendations,Personal Tips,Latitude,Longitude,"Opening Hours, Price, Best Time",Past Events,Sentiment Tags,Image URLs,Source URL
1,Victoria Memorial,"Landmark, Museum",A grand marble museum dedicated to Queen Victoria.,Built between 1906–1921 during British rule.,"Birla Planetarium, Maidan tea stalls",Visit during sunset for best photos.,22.5448,88.3426,"10:00–17:00, ₹30, Oct–Mar",Light & sound shows,"heritage, photography, peaceful",,"https://en.wikipedia.org/wiki/Victoria_Memorial,_Kolkata"
2,Howrah Bridge,"Landmark, Bridge",Iconic cantilever bridge connecting Kolkata and Howrah.,"Opened in 1943, one of the busiest bridges in the world.","Prinsep Ghat, Flower Market",Best viewed at dawn or dusk.,22.5958,88.3095,"Open 24h, Free, Anytime",Featured in Bollywood movies,"iconic, river-view, busy",,https://en.wikipedia.org/wiki/Howrah_Bridge
3,Indian Museum,"Museum, History",Oldest and largest museum in India.,Founded in 1814; holds rare artifacts including Egyptian mummies.,Park Street cafes,Allocate 2–3 hours; avoid Mondays (closed).,22.5725,88.348,"10:00–17:00, ₹50, Oct–Mar",Temporary exhibitions,"educational, historical, family",,"https://en.wikipedia.org/wiki/Indian_Museum,_Kolkata"
4,Park Street,"Area, Food & Nightlife","Popular street filled with restaurants, pubs, and shops.",Colonial-era street turned modern hub.,"Flurys, Mocambo, Peter Cat",Visit during Christmas for lights.,22.5492,88.3494,"All day, Variable, Dec evenings",Christmas carnivals,"vibrant, nightlife, festive",,"https://en.wikipedia.org/wiki/Park_Street,_Kolkata"
5,New Market (Hogg Market),"Market, Shopping",Historic shopping arcade from the British era.,Built in 1874; known for variety of goods.,"Nahoum’s Bakery, Chowringhee",Great for souvenirs; bargain prices.,22.5465,88.344,"10:00–20:00, Free, All year",Festive crowds during Durga Puja,"shopping, local, street-food",,"https://en.wikipedia.org/wiki/New_Market,_Kolkata"
6,Birla Mandir,"Landmark, Temple",Modern white marble temple built by Birla family.,"Completed in 1996, dedicated to Lord Krishna & Rama.",Ballygunge cafes,Dress modestly and visit during evening aarti.,22.533,88.3553,"05:30–11:00, 16:30–21:00, Free",Janmashtami festival,"spiritual, serene, architecture",,"https://en.wikipedia.org/wiki/Birla_Mandir,_Kolkata"
7,Science City,"Museum, Science",India’s largest science centre.,Opened in 1997 to promote interactive science learning.,E.M. Bypass eateries,Best for kids and families; weekdays less crowded.,22.5512,88.4251,"09:00–18:00, ₹70, All year",Science fairs,"educational, family, interactive",,"https://en.wikipedia.org/wiki/Science_City,_Kolkata"
8,Maidan,"Park, Recreation",Kolkata’s largest open park known as city lungs.,"Laid out during British era, used for sports and parades.","Eden Gardens, Shaheed Minar",Early morning walk recommended.,22.5685,88.3452,"Open 24h, Free, Nov–Feb",Political rallies,"open-space, jogging, nature",,https://en.wikipedia.org/wiki/Maidan_(Kolkata)
9,Prinsep Ghat,"Landmark, Riverside",Colonial ghat by the Hooghly river.,Built in 1841 to honor James Prinsep.,"Riverfront cafes, Howrah Bridge view",Best at sunset; take a boat ride.,22.5505,88.3348,"All day, Free, Evening",River festivals,"romantic, scenic, sunset",,https://en.wikipedia.org/wiki/Prinsep_Ghat
10,Dakshineswar Kali Temple,"Temple, Pilgrimage",Famous temple dedicated to Goddess Kali.,Built in 1855 by Rani Rashmoni; associated with Ramakrishna.,Bally bridge stalls,Avoid Sundays due to heavy crowd.,22.6544,88.3571,"05:00–22:00, Free, Oct–Mar",Religious festivals,"spiritual, devotional, heritage",,https://en.wikipedia.org/wiki/Dakshineswar_Kali_Temple
11,Belur Math,"Temple, Cultural",Headquarters of Ramakrishna Mission across river.,Established by Swami Vivekananda in 1897.,Dakshineswar Temple (boat route),Go before sunset for calm atmosphere.,22.6326,88.356,"06:00–12:00, 16:00–20:30, Free",Ramakrishna Jayanti,"peaceful, architecture, river",,https://en.wikipedia.org/wiki/Belur_Math
12,Eden Gardens,"Stadium, Sports",Historic cricket stadium.,Established in 1864; hosted major international matches.,"Maidan, Victoria Memorial",Check match schedules; guided tours available.,22.5646,88.3433,"Match days, Ticketed",Cricket World Cups,"sports, crowd, excitement",,https://en.wikipedia.org/wiki/Eden_Gardens
13,South Park Street Cemetery,"Heritage, Cemetery",18th-century colonial cemetery.,"Opened in 1767, contains British tombs.",Park Street cafés,Calm and eerie place; photography allowed.,22.544,88.3508,"09:00–17:00, ₹20, Winter",Heritage walks,"quiet, heritage, history",,https://en.wikipedia.org/wiki/South_Park_Street_Cemetery
14,Kalighat Temple,"Temple, Religious",One of 51 Shakti Peeths.,Believed to be over 200 years old; major pilgrimage site.,Kalighat market,Avoid weekends; keep belongings safe.,22.5186,88.342,"05:00–22:00, Free",Durga Puja,"religious, crowded, sacred",,https://en.wikipedia.org/wiki/Kalighat
15,St. Paul’s Cathedral,"Church, Heritage",Anglican cathedral with Gothic architecture.,Completed in 1847; designed by Major Forbes.,Victoria Memorial,Visit during Christmas carols.,22.5393,88.3494,"09:00–18:00, Free, Dec",Midnight Mass,"peaceful, architecture, festive",,"https://en.wikipedia.org/wiki/St._Paul%27s_Cathedral,_Kolkata"
16,Eco Park,"Park, Recreation",Largest urban park in India with theme areas and lake.,Opened in 2013 in New Town.,"Cafe Ekante, Wax Museum",Try boating and cycling; rent e-vehicles.,22.6037,88.4656,"14:30–20:30, ₹30, Winter evenings",Winter carnivals,"modern, family, entertainment",,"https://en.wikipedia.org/wiki/Eco_Park,_New_Town"
17,College Street (Boi Para),"Market, Books",Asia’s largest second-hand book market.,Developed around 19th century educational institutions.,Coffee House,Carry cash; bargain politely.,22.5746,88.3649,"10:00–20:00, Free, All year",Book fairs,"literary, nostalgic, academic",,"https://en.wikipedia.org/wiki/College_Street,_Kolkata"
18,Rabindra Sarobar,"Lake, Park",Manmade lake and urban park in South Kolkata.,Built in 1920s as Dhakuria Lake.,Cafes near Lake Gardens,Morning jog recommended; photography spots around bridge.,22.5173,88.3493,"05:00–20:00, Free, Morning",Morning yoga groups,"relaxing, scenic, walk",,https://en.wikipedia.org/wiki/Rabindra_Sarobar
19,Nandan,"Cultural, Cinema",Cultural complex promoting Bengali films.,Inaugurated in 1985 by Satyajit Ray.,"Academy of Fine Arts, Coffee House",Best during film festivals.,22.5462,88.3514,"10:00–21:00, Ticketed",Kolkata Film Festival,"art, cinema, creative",,https://en.wikipedia.org/wiki/Nandan_(Kolkata)
20,Nicco Park,"Amusement Park, Family",Popular amusement park with rides and water park.,Opened in 1991; known as the Disneyland of Bengal.,Salt Lake cafes,Carry sunscreen; weekdays are less crowded.,22.5716,88.418,"10:00–18:00, ₹300, Winter",Festivals and fairs,"fun, kids, family",,https://en.wikipedia.org/wiki/Nicco_Park
